ID_Customer|Cod_Prod|Cod_Fecha|Socio_Demo_01|Socio_Demo_02|Socio_Demo_03|Socio_Demo_04|Socio_Demo_05
A0000001|0601|2007-05|5|4|3|1|0
A0000001|0704|2013-04|5|4|3|1|0
A0000001|2501|2006-03|5|4|3|1|0
A0000001|2503|2006-03|5|4|3|1|0
A0000001|1011|2011-04|5|4|3|1|0
A0000002|0601|1998-06|5|5|1|1|0
A0000002|0801|2006-02|5|5|1|1|0
A0000002|9992|2015-02|5|5|1|1|0
A0000002|0301|1995-03|5|5|1|1|0
A0000003|0601|1985-11|5|5|5|2|0
A0000003|0301|2012-05|5|5|5|2|0
A0000003|2501|2011-12|5|5|5|2|0
A0000003|2503|2011-12|5|5|5|2|0
A0000003|0201|2016-02|5|5|5|2|0
A0000004|0601|2008-05|5|5|3|1|0
A0000004|2301|2016-05|5|5|3|1|0
A0000004|0301|2008-10|5|5|3|1|0
A0000004|0201|2014-12|5|5|3|1|0
A0000005|0301|1984-04|5|5|3|1|0
A0000005|0601|1984-04|5|5|3|1|0
A0000006|0301|1996-10|5|5|3|1|0
A0000006|0601|2012-11|5|5|3|1|0
A0000006|2205|2012-02|5|5|3|1|0
A0000006|9993|2011-04|5|5|3|1|0
A0000006|9991|2011-04|5|5|3|1|0
A0000006|2302|2015-05|5|5|3|1|0
A0000007|0601|2012-08|5|5|2|2|0
A0000007|0301|2012-08|5|5|2|2|0
A0000008|1001|2014-03|3|5|2|1|3
A0000008|1020|2013-11|3|5|2|1|3
A0000008|1401|2010-07|3|5|2|1|3
A0000008|2205|2003-09|3|5|2|1|3
A0000008|2602|2015-09|3|5|2|1|3
A0000008|2704|2004-05|3|5|2|1|3
A0000008|2707|2016-09|3|5|2|1|3
A0000008|3401|2014-03|3|5|2|1|3
A0000008|9992|2015-11|3|5|2|1|3
A0000008|0601|2014-03|3|5|2|1|3
A0000008|0506|2015-09|3|5|2|1|3
A0000008|0301|2004-06|3|5|2|1|3
A0000008|0801|2014-03|3|5|2|1|3
A0000009|0601|1982-01|4|5|2|1|0
A0000009|1013|2006-09|4|5|2|1|0
A0000010|0601|1999-03|5|5|2|2|0
A0000010|0301|2011-05|5|5|2|2|0
A0000011|0601|2012-03|4|5|4|2|0
A0000011|0704|2016-12|4|5|4|2|0
A0000011|1011|2014-06|4|5|4|2|0
A0000011|2205|2016-04|4|5|4|2|0
A0000011|2302|2001-12|4|5|4|2|0
A0000011|9991|2011-03|4|5|4|2|0
A0000011|9993|2011-03|4|5|4|2|0
A0000011|0301|2014-02|4|5|4|2|0
